2018-12-25 23:31:29,Emad_PG,617,2754,b'Just got this awesome freebie! https://t.co/AnR2I0Ls0M via @CreativeSofaTWT'
2018-12-25 23:30:20,SWIFTUNLOCK,1513,65,"b'Sim Unlock #Sprint #Boost #ATT #Tmobile iPhone X,8,7,6 #neterair #iphonex #iphone #swiftunlock #iphonex #unlockcode\xe2\x80\xa6 https://t.co/UhomHcoEM3'"
2018-12-25 23:28:34,psplaya3,311,10902,b'RT @coolcam101: People trying to preorder the new iPhone\n #iPhoneX https://t.co/bA7rli39iB'
2018-12-25 23:27:10,_BenFranky,2844,29789,b'RT @TrapHouseHitler: 13 year olds getting IphoneX\xe2\x80\x99s for Christmas.. when I was 13 my parents wouldn\xe2\x80\x99t even get me a RuneScape membership'
2018-12-25 23:25:20,long_n_dreaded,1315,10317,b'RT @VIVID_KAAH: @uncle_shamsu @chemicalbrodar @Meeiynalicious @RilwanNajib @Alex_Houseof308 @ObongRoviel @Mahmud_a_laushi @lovelymuslimah_\xe2\x80\xa6'
2018-12-25 23:21:55,_2themax_,917,11200,b'Warning: my girlfriend got an iPhoneX for Christmas &amp; she just saw how good the camera quality is ... she\xe2\x80\x99s gonna b\xe2\x80\xa6 https://t.co/u14U30NTgK'
2018-12-25 23:17:02,HealthyBreakApp,253,1,b'A break can serve as creative fuel.\nSo use Healthy Break app!\n\nhttps://t.co/o42xPaWKfP\n\n#healthy_break\n\n#cerait\xe2\x80\xa6 https://t.co/tkoiPfROFG'
2018-12-25 23:10:42,irish2417,7,349,b'Black Card Pocket For Cell Phone - Free Shipping https://t.co/Jh0tacyPYc @eBay #shopping #sale #deals\xe2\x80\xa6 https://t.co/IZBIzwudPe'
2018-12-25 23:10:04,SupplyChainBlog,20109,4736,"b""VIDEO: What's in your Apple iPhone?  The Apple Supply Chain. #Supplychain #AppleSupplyChain #electronics #iPhone\xe2\x80\xa6 https://t.co/5g15fn4zgC"""
2018-12-25 23:08:45,irish2417,7,349,b'New PopSockets Phone Grip PopSocket Deathly Hallows - Harry Potter Phone Holder https://t.co/ktSuKpWR95 @eBay\xe2\x80\xa6 https://t.co/upVzCqWSCv'
